Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,Sensor,Actuator,instances
Vehicle.Cabin.Door.Shade.Switch.Row2,"4989","actuator","string","True","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Switch.Row2.Left,"4989","actuator","string","False","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Switch.Row2.Right,"4989","actuator","string","False","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Switch.Row3,"4989","actuator","string","True","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Switch.Row3.Left,"4989","actuator","string","False","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Switch.Row3.Right,"4989","actuator","string","False","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Switch.Row4,"4989","actuator","string","True","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Switch.Row4.Left,"4989","actuator","string","False","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Switch.Row4.Right,"4989","actuator","string","False","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",
Vehicle.Cabin.Door.Shade.Position,"4990","actuator","uint8","True","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",[['Row[1,4]', ['Left', 'Right']]]
Vehicle.Cabin.Door.Shade.Position.Row1,"4990","actuator","uint8","True","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row1.Left,"4990","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row1.Right,"4990","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row2,"4990","actuator","uint8","True","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row2.Left,"4990","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row2.Right,"4990","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row3,"4990","actuator","uint8","True","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row3.Left,"4990","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row3.Right,"4990","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row4,"4990","actuator","uint8","True","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row4.Left,"4990","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.Door.Shade.Position.Row4.Right,"4990","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",
Vehicle.Cabin.DoorCount,"4991","attribute","uint8","False","","","","Number of doors in vehicle","","","",[]
Vehicle.Cabin.Seat,"4625","branch","","False","","","","All seats.","","",""
Vehicle.Cabin.Seat.HasPassenger,"4992","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.HasPassenger.Row1,"4992","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos1,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos2,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos3,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos4,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row1.Pos5,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2,"4992","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos1,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos2,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos3,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos4,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row2.Pos5,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3,"4992","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos1,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos2,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos3,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos4,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row3.Pos5,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4,"4992","sensor","boolean","True","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos1,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos2,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos3,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos4,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.HasPassenger.Row4.Pos5,"4992","sensor","boolean","False","","","","Does the seat have a passenger in it.","","","",
Vehicle.Cabin.Seat.IsBelted,"4993","sensor","boolean","True","","","","Is the belt engaged.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.IsBelted.Row1,"4993","sensor","boolean","True","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos1,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos2,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos3,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos4,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row1.Pos5,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2,"4993","sensor","boolean","True","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos1,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos2,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos3,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos4,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row2.Pos5,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3,"4993","sensor","boolean","True","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos1,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos2,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos3,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos4,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row3.Pos5,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4,"4993","sensor","boolean","True","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos1,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos2,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos3,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos4,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.IsBelted.Row4.Pos5,"4993","sensor","boolean","False","","","","Is the belt engaged.","","","",
Vehicle.Cabin.Seat.Heating,"4994","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Heating.Row1,"4994","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos1,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos2,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos3,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos4,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row1.Pos5,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2,"4994","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos1,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos2,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos3,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos4,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row2.Pos5,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3,"4994","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos1,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos2,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos3,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos4,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row3.Pos5,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4,"4994","sensor","int8","True","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos1,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos2,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos3,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos4,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Heating.Row4.Pos5,"4994","sensor","int8","False","percent","-100","100","Seat cooling / heating. 0 = off. -100 = max cold. +100 = max heat","","","",
Vehicle.Cabin.Seat.Massage,"4995","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Massage.Row1,"4995","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos1,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos2,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos3,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos4,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row1.Pos5,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2,"4995","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos1,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos2,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos3,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos4,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row2.Pos5,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3,"4995","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos1,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos2,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos3,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos4,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row3.Pos5,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4,"4995","sensor","uint8","True","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos1,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos2,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos3,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos4,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Massage.Row4.Pos5,"4995","sensor","uint8","False","percent","0","100","Seat massage level. 0 = off. 100 = max massage.","","","",
Vehicle.Cabin.Seat.Recline,"4996","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Recline.Row1,"4996","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos1,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos2,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos3,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos4,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row1.Pos5,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2,"4996","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos1,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos2,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos3,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos4,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row2.Pos5,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3,"4996","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos1,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos2,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos3,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos4,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row3.Pos5,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4,"4996","sensor","int8","True","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos1,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos2,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos3,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos4,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Recline.Row4.Pos5,"4996","sensor","int8","False","degrees","-90","90","Recline level. -90 = Max forward recline. 90 max backward recline","","","",
Vehicle.Cabin.Seat.Position,"4997","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Position.Row1,"4997","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos1,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos2,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos3,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos4,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row1.Pos5,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2,"4997","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos1,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos2,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos3,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos4,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row2.Pos5,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3,"4997","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos1,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos2,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos3,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos4,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row3.Pos5,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4,"4997","sensor","uint16","True","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos1,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos2,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos3,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos4,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Position.Row4.Pos5,"4997","sensor","uint16","False","mm","0","1000","Seat horizontal position. 0 = Frontmost. 1000 = Rearmost","","","",
Vehicle.Cabin.Seat.Cushion,"4998","branch","","False","","","","Cushion signals.","","",""
Vehicle.Cabin.Seat.Cushion.Height,"4999","sensor","uint16","True","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Cushion.Height.Row1,"4999","sensor","uint16","True","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos1,"4999","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos2,"4999","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos3,"4999","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos4,"4999","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
Vehicle.Cabin.Seat.Cushion.Height.Row1.Pos5,"4999","sensor","uint16","False","mm","0","500","Height of the seat front. 0 = Lowermost. 500 = Uppermost.","","","",
